Forstbetrieb.1,Teiloperats-ID.1,Forstrevier,Abteilung,Unterabteil.,Teilfl.,WE-Typ,Betriebsklasse,Umtriebszeit,Nebengrund Art,Ertragssituation,Bewirtschaftungsform,Schutzwaldkategorie,Fläche in HA,Seehöhe,Exposition,Neigung,Standorteinheit,Vegetationstyp,Waldtyp,Wuchsgebiet,Überh. Laubholz,Überh. Nadelhz.,Waldort,Best.-Schicht,Schichtanteil,Schichtalter,S-Best.grad,Best.-Schicht.1,Baumart,Baumartenanteil,BaumartenBestockgrad,Schälgrad,Ertragsklasse,Vorrat / ha,Laubholzvorrat / ha,Nadelholzvorrat / ha,Vorrat am Ort,Laubholzvorrat Ort,Nadelholzvorrat Ort,GSOLL / HA,GIST / HA,lauf. Zuwachs / HA,DGZU / HA,HDZ,LGZ,Best.-Schicht.2,Nutzungsnummer,Maßnahmenart,Massnahme geplant,Massnahmengruppe,Angriffsfläche,Nutzung LH,Nutzung NH,Nutzungssumme,Nutzdringlichkeit,Bewpfl.,Zeitpunkt,Rückungsart,Schlägerungsart,Repr. Fläche Schicht,Maßnahme,Geschäftsfeld,Bezeichnung,Pflanzen Ist,Baumarten Ist,Repr. Fläche Baumart,Flächenanteil,WO
171,1310,12,21,A,1,WO,9020.0,120,,I,W,,0.0,500,N,36,72.0,HD,,5.2,0,0,021A1,1,100,121,0.8,0,,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0.0,0.0,0.0,0.0,0,0,0,,,2.84,,,,0,,0.0,0.0,1221A1
171,1310,12,19,C,1,WO,9020.0,120,,I,W,,0.0,700,W,27,81.0,WS,,5.2,0,0,019C1,1,100,81,1.0,0,,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0.0,0.0,0.0,0.0,0,0,0,,,0.89,,,,0,,0.0,0.0,1219C1
171,1310,12,18,E,1,WO,9020.0,120,,I,W,,0.0,600,S,36,72.0,HD,,5.2,0,0,018E1,1,100,86,1.0,0,,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0.0,0.0,0.0,0.0,0,0,0,,,0.99,,,,0,,0.0,0.0,1218E1
171,1310,12,18,B,1,WO,9020.0,120,,I,W,,0.0,600,S,36,81.0,WS,,5.2,0,0,018B1,1,100,91,0.7,0,,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0.0,0.0,0.0,0.0,0,0,0,,,0.59,,,,0,,0.0,0.0,1218B1
171,1310,12,18,A,1,WO,9020.0,120,,I,W,,0.0,600,S,47,72.0,BW,,5.2,0,0,018A1,1,100,91,0.9,0,,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0.0,0.0,0.0,0.0,0,0,0,,,0.29,,,,0,,0.0,0.0,1218A1
171,1310,12,17,I,1,WO,9020.0,120,,I,W,,0.0,600,SW,27,81.0,WS,,5.2,0,0,017I1,1,100,81,0.5,0,,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0.0,0.0,0.0,0.0,0,0,0,,,0.16,,,,0,,0.0,0.0,1217I1
171,1310,12,17,G,1,WO,9020.0,120,,I,W,,0.0,600,S,36,72.0,HD,,5.2,0,0,017G1,1,100,81,0.8,0,,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0.0,0.0,0.0,0.0,0,0,0,,,0.91,,,,0,,0.0,0.0,1217G1
171,1310,12,17,A,1,WO,9020.0,120,,I,W,,0.0,500,S,36,81.0,BW,,5.2,0,0,017A1,1,100,81,0.8,0,,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0.0,0.0,0.0,0.0,0,0,0,,,0.25,,,,0,,0.0,0.0,1217A1
171,1310,12,16,D,1,WO,9020.0,120,,I,W,,0.0,400,SW,36,81.0,WS,,5.2,0,0,016D1,1,71,126,0.75,0,,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0.0,0.0,0.0,0.0,0,0,0,,,4.66,,,,0,,0.0,0.0,1216D1
171,1310,12,16,C,1,WO,9020.0,120,,I,W,,0.0,500,SW,27,81.0,WS,,5.2,0,0,016C1,1,38,131,0.6,0,,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0.0,0.0,0.0,0.0,0,0,0,,,1.13,,,,0,,0.0,0.0,1216C1
